curtime,input,width,buffersize,method,rows_cleared,final_height,num_holes
1369799748854,.\testdata\zall1.txt,11,1,1,40,0,0
1369799774421,.\testdata\zall2.txt,11,1,1,0,44,44
1369799970724,.\testdata\zall3.txt,11,1,1,14,31,55
1369799980024,.\testdata\zall4.txt,11,1,1,28,14,22
1369799998709,.\testdata\zall5.txt,11,1,1,17,27,44
1369800021480,.\testdata\zall6.txt,11,1,1,5,41,66
1369800046840,.\testdata\zall7.txt,11,1,1,0,44,44
1369800054995,.\testdata\zequal1.txt,11,1,1,36,5,11
1369800062317,.\testdata\zequal2.txt,11,1,1,38,3,11
1369800068969,.\testdata\zequal3.txt,11,1,1,36,5,11
1369800081247,.\testdata\zall1.txt,11,1,2,40,0,0
1369800085681,.\testdata\zall2.txt,11,1,2,0,56,176
1369800093312,.\testdata\zall3.txt,11,1,2,0,76,396
1369800098320,.\testdata\zall4.txt,11,1,2,0,56,176
1369800102656,.\testdata\zall5.txt,11,1,2,0,56,176
1369800106854,.\testdata\zall6.txt,11,1,2,0,45,55
1369800111037,.\testdata\zall7.txt,11,1,2,0,45,55
1369800117735,.\testdata\zequal1.txt,11,1,2,6,50,176
1369800131573,.\testdata\zequal2.txt,11,1,2,5,51,176
1369800135879,.\testdata\zequal3.txt,11,1,2,5,52,187
1369800439726,.\testdata\zsquare-line1.txt,11,1,1,39,2,11
1369800446046,.\testdata\zsquare-line2.txt,11,1,1,39,2,11
1369800451071,.\testdata\zsquare-line3.txt,11,1,1,38,3,11
1369800691326,.\testdata\zno-s1.txt,11,1,1,37,4,11
1369800696343,.\testdata\zno-s2.txt,11,1,1,38,3,11
1369800701826,.\testdata\zno-s3.txt,11,1,1,39,2,11
1369800710175,.\testdata\zsquare-line1.txt,11,1,2,39,3,22
1369800716003,.\testdata\zsquare-line2.txt,11,1,2,38,6,44
1369800720376,.\testdata\zsquare-line3.txt,11,1,2,38,6,44
1369800730727,.\testdata\zno-s1.txt,11,1,2,19,28,77
1369800735302,.\testdata\zno-s2.txt,11,1,2,12,36,88
1369800739492,.\testdata\zno-s3.txt,11,1,2,13,34,77
